"","yr1.WM","yr1.CSF","yr1.GM","yr1.ICV","yr1.Hippocampus_LR","yr1.Amygdala_LR","yr1.mPFC"
"wunifrac.PC.1",0.938638990924366,0.638847760076157,0.626013137548259,0.678549044214254,0.958493751418899,0.166541136368377,0.703209673119955
"wunifrac.PC.2",0.637963194869499,0.316767474427809,0.545131807494164,0.350643539535129,0.958493751418899,0.933519323216644,0.703209673119955
"wunifrac.PC.3",0.333205400737787,0.76159041478657,0.0503196178707225,0.350643539535129,0.930046160860431,0.836838706024339,0.149582057219374
"wunifrac.PC.4",0.421097526566386,0.76159041478657,0.684435242908945,0.421923075302695,0.958493751418899,0.710866259073128,0.919769871105865
"unifrac.PC.1",0.938638990924366,0.885265329898907,0.713450278437578,0.842481805563813,0.958493751418899,0.933519323216644,0.703209673119955
"unifrac.PC.2",0.333205400737787,0.885265329898907,0.545131807494164,0.350643539535129,0.958493751418899,0.836838706024339,0.744553303649844
"unifrac.PC.3",0.637963194869499,0.885265329898907,0.545415137190958,0.421923075302695,0.958493751418899,0.710866259073128,0.703209673119955
"unifrac.PC.4",0.585712576274104,0.76159041478657,0.522976952109866,0.350643539535129,0.958493751418899,0.710866259073128,0.703209673119955
"chao1",0.333205400737787,0.638847760076157,0.626013137548259,0.350643539535129,0.958493751418899,0.710866259073128,0.744553303649844
"observed_otus",0.333205400737787,0.638847760076157,0.626013137548259,0.350643539535129,0.958493751418899,0.710866259073128,0.744553303649844
"PD_whole_tree",0.55056394153951,0.875353353893949,0.545131807494164,0.350643539535129,0.958493751418899,0.710866259073128,0.744553303649844
"shannon",0.333205400737787,0.885265329898907,0.545415137190958,0.350643539535129,0.958493751418899,0.836838706024339,0.703209673119955
