"","neo.WM","neo.GM","neo.CSF","neo.ICV","neo.Hippocampus_LR","neo.Amygdala_LR","neo.mPFC","yr1.WM","yr1.GM","yr1.CSF","yr1.ICV","yr1.Hippocampus_LR","yr1.Amygdala_LR","yr1.mPFC"
"wunifrac.PC.1",0.641855382344502,0.89811002415178,0.785549984361197,0.688961551276172,0.633522216606389,0.153422412964696,0.730019303361466,0.655611966897846,0.839877426200826,0.649061774236326,0.825482153745939,0.900525495527392,0.839892203293209,0.759341674474895
"wunifrac.PC.2",0.962167109162818,0.983851816604829,0.686862499858369,0.81278472281051,0.633522216606389,0.990192037272339,0.969025013476856,0.96789764292739,0.654827363504487,0.99735994312686,0.893687301025541,0.979968422329194,0.410469991593745,0.759341674474895
"wunifrac.PC.3",0.888851486439266,0.981517852873267,0.683920345664582,0.81278472281051,0.926502119293329,0.990192037272339,0.969025013476856,0.655611966897846,0.404983048542537,0.720739943825867,0.825482153745939,0.900525495527392,0.839892203293209,0.759341674474895
"wunifrac.PC.4",0.641855382344502,0.981517852873267,0.46904199629987,0.688961551276172,0.633522216606389,0.990192037272339,0.795131899046783,0.941342692926745,0.801637744395045,0.720739943825867,0.825482153745939,0.967123901603631,0.880236031823498,0.759341674474895
"unifrac.PC.1",0.641855382344502,0.981517852873267,0.683920345664582,0.688961551276172,0.633522216606389,0.27730780298336,0.730019303361466,0.941342692926745,0.404983048542537,0.99735994312686,0.893687301025541,0.900525495527392,0.839892203293209,0.759341674474895
"unifrac.PC.2",0.74286014468764,0.89811002415178,0.154517943399863,0.688961551276172,0.633522216606389,0.990192037272339,0.730019303361466,0.676378580015122,0.654827363504487,0.900357723763457,0.825482153745939,0.900525495527392,0.859696638931007,0.759341674474895
"unifrac.PC.3",0.641855382344502,0.89811002415178,0.940489923575297,0.688961551276172,0.633522216606389,0.181915770149324,0.730019303361466,0.598615203196203,0.775378470772567,0.649061774236326,0.638311216092357,0.979968422329194,0.859696638931007,0.759341674474895
"unifrac.PC.4",0.888851486439266,0.981517852873267,0.46904199629987,0.81278472281051,0.814330635030866,0.990192037272339,0.969025013476856,0.96789764292739,0.654827363504487,0.99735994312686,0.893687301025541,0.900525495527392,0.839892203293209,0.759341674474895
"chao1",0.641855382344502,0.981517852873267,0.718606244488759,0.81278472281051,0.633522216606389,0.489166757768121,0.795131899046783,0.598615203196203,0.735774449352528,0.99735994312686,0.825482153745939,0.967123901603631,0.859696638931007,0.759341674474895
"observed_otus",0.641855382344502,0.981517852873267,0.926802014438488,0.81278472281051,0.814330635030866,0.690162837824482,0.795131899046783,0.655611966897846,0.654827363504487,0.99735994312686,0.825482153745939,0.900525495527392,0.859696638931007,0.759341674474895
"PD_whole_tree",0.779778263825633,0.981517852873267,0.940489923575297,0.81278472281051,0.747952157514022,0.572281572626139,0.795131899046783,0.941342692926745,0.839877426200826,0.99735994312686,0.893687301025541,0.900525495527392,0.922081542046404,0.759341674474895
"shannon",0.83413320137247,0.981517852873267,0.683920345664582,0.81278472281051,0.747952157514022,0.990192037272339,0.969025013476856,0.655611966897846,0.404983048542537,0.99735994312686,0.825482153745939,0.967123901603631,0.839892203293209,0.759341674474895
