"","Summed","Average","Max","Episode3.1","Episode3.2","Episode3.3"
"AgeAt1yrVisit",-0.0128849443087373,-0.00431307511764193,-0.00411190043032285,-0.00309258455950875,-0.00661235813283765,-0.00318000161639088
"MAGE",-0.0367735580606326,-0.012296158476524,0.00733282258947136,-0.0233118091277225,-0.00164167669913539,-0.0118200722337748
"PAGE",-0.0321203119197921,-0.0107797994801337,0.0029706646862235,-0.0159673226884516,-0.0159673226884516,-0.00018566654288899
"MEDUY",0.0290178571428571,0.00968750000000005,0.1015625,-0.00111607142857135,-0.0256696428571428,0.0558035714285713
"PEDUY",-0.283109404990403,-0.0942754318618042,-0.0988483685220728,-0.0849328214971209,-0.0796545105566217,-0.11852207293666
"Income.code",NA,NA,NA,NA,NA,NA
"OLDERSIBLINGS",0.427350427350427,0.142307692307692,-0.00854700854700868,0.128205128205128,0.316239316239316,-0.0170940170940172
"SEX",0.0178571428571432,0.00732142857142862,-0.0357142857142857,-0.0535714285714284,-0.25,0.321428571428571
"GESTAGEBIRTH",-0.00683890577507601,-0.0022773556231003,0.000303951367781041,-0.0112462006079027,0.00547112462006091,-0.0010638297872342
"BW",0.00140192688624828,0.000466755337419476,0.000682974836441369,0.000446472776235117,0.000614544103858842,0.000340910006154324
"MaternalInfection",-1.03333333333333,-0.344833333333333,-0.683333333333334,-0.2,-0.383333333333333,-0.45
"MPSYCH",-1.50588235294118,-0.502235294117647,-0.741176470588235,-0.529411764705882,-0.270588235294118,-0.705882352941176
"VITAMINDNEO",-0.427350427350427,-0.142307692307692,0.196581196581197,-0.316239316239316,-0.316239316239316,0.205128205128205
"PrePregBMI",NA,NA,NA,NA,NA,NA
"ANTIBIOTIC_1yr",0.8125,0.270375,0.575,0.225,0.55,0.0375000000000001
"FEVER_1yr",-1.85714285714286,-0.619285714285714,-0.928571428571429,-0.428571428571429,-0.571428571428572,-0.857142857142857
"DAYCARE",-0.471428571428571,-0.157285714285714,-0.628571428571429,-0.171428571428571,0.171428571428571,-0.471428571428571
"CURBRFEED_1yr",-0.0363636363636362,-0.0133636363636364,0.309090909090909,0.0545454545454545,-0.0363636363636365,-0.0545454545454546
"FORMULA_1yr",0.413461538461538,0.139326923076923,0.019230769230769,-0.115384615384616,0.00961538461538441,0.519230769230769
"Milks_1yr",-1.3375,-0.44625,-0.575,-0.225,-0.55,-0.5625
"FrenchFries_1yr",1.10909090909091,0.370363636363636,0.5,0.245454545454545,0.345454545454546,0.518181818181818
"SweetFoodsDrinks_1yr",0.533333333333333,0.177333333333333,-0.0999999999999999,0.366666666666667,0.3,-0.133333333333333
"PeanutButter_1yr",1.01923076923077,0.339230769230769,0.221153846153846,0.490384615384615,0.413461538461539,0.115384615384615
"FORMULA_6mo",-0.505050505050505,-0.166767676767677,-0.333333333333334,-0.212121212121212,-0.414141414141414,0.121212121212121
"WHSTOTHER",NA,NA,NA,NA,NA,NA
"VITAMIND_6mo",-0.933333333333333,-0.311333333333333,-0.333333333333333,-0.333333333333333,-0.333333333333333,-0.266666666666667
"Cereals_6mo",-0.714285714285714,-0.236428571428571,-0.214285714285714,-0.309523809523809,-0.309523809523809,-0.0952380952380952
"NegativeLifeEvents",-0.131067961165049,-0.0436407766990291,-0.101941747572816,-0.0485436893203883,-0.029126213592233,-0.0533980582524272
"PositiveLifeEvents",0.110521277521539,0.0367391871899747,0.0479505700113132,0.0371595161430685,0.0719693673309546,0.00139239404751544
"TotalLifeEvents",0.0682817322981947,0.0226704704891965,0.0122532971658404,0.021232812646151,0.0661303900477037,-0.0190814703956599
"StateAnxiety",0.00812192920886396,0.00275393562619072,-0.0184999498646345,-0.00215582071593301,0.00736989872656173,0.00290785119823523
"TraitAnxiety",-0.0493336750384418,-0.0164748846745259,-0.0238339313172732,-0.0226806765761148,-0.0143516145566376,-0.0123013839056894
"Stranger",-0.178571428571429,-0.0594642857142859,0.160714285714286,-0.25,-0.25,0.321428571428571
