"","MasksPresented","MaskMaxIntensity_Latency","MaskMaxIntensity_FacialFear","MaskMaxIntensity_VocalDistress","MaskMaxIntensity_BodilyFear","MaskMaxIntensity_StartleResponse","MaskMaxIntensity_EscapeBehavior","MaskAverageScore_Latency","MaskAverageScore_FacialFear","MaskAverageScore_VocalDistress","MaskAverageScore_BodilyFear","MaskAverageScore_StartleResponse","MaskAverageScore_EscapeBehavior","MaskSummedScore_Latency","MaskSummedScore_FacialFear","MaskSummedScore_VocalDistress","MaskSummedScore_BodilyFear","MaskSummedScore_StartleResponse","MaskSummedScore_EscapeBehavior"
"MAGE",0.364552517699387,0.19623957749582,0.17632676152313,0.121853551646079,0.950363980619054,0.55961597733756,0.155875329346538,0.527713788396731,0.519616326266789,0.684872044056594,0.756381256701337,0.666692118536646,0.372753583294477,0.527886268225068,0.519556136212021,0.677918964962299,0.771852469338249,0.653852530340851,0.406234274568423
"METHNIC",0.28837510416572,0.558238017969852,0.256435389067164,0.216022964400445,0.926113412145254,0.565164525829107,0.174719431304429,0.959962433551816,0.994238307740258,0.888020756711257,0.667032277542008,0.882543718632192,0.600181809469902,0.990953175279104,0.960447614856872,0.837553409519724,0.625171169732946,0.824760966760634,0.74893395455323
"PAGE",0.25587472976753,0.832168991973742,0.700237575642113,0.846143511143324,0.315611763045732,0.888016698266622,0.476902054941058,0.384928447186117,0.415636260964896,0.313235264576649,0.167152558803371,0.284132010738735,0.573255981017454,0.421076203641416,0.449756285172813,0.356558488826265,0.19320400733684,0.322104211059841,0.705354374140603
"PETHNIC",0.375795628223316,0.65026075958502,0.344151194468917,0.371631731445068,0.677582289893917,0.267799943583918,0.126361448429923,0.788729550546227,0.783455470488389,0.839545886080133,0.895218080385522,0.831751911216036,0.499364877985958,0.832552833640177,0.82436087582744,0.889352524058229,0.941170568493804,0.892635401648986,0.636072493116117
"MEDUY",0.691198582552165,0.0828078934574374,0.0752646946548172,0.0224947349257283,0.229012228440718,0.274589985727325,0.0283762465703215,0.287456173323032,0.316377706466695,0.389319540397348,0.614006191759362,0.725296281897268,0.0829268986548233,0.293895897587637,0.321715498644839,0.39810538469773,0.614074397912891,0.728850143779922,0.128671075551204
"PEDUY",0.618680690993351,0.334230973867555,0.41753185796552,0.443702848641829,0.940765179751693,0.442413054203823,0.334278615898279,0.813204535274579,0.830349451147634,0.674414496119629,0.950547656336232,0.482791519848311,0.582476804128788,0.815214071580784,0.831748847023937,0.68155542270911,0.949391521415656,0.50165380871607,0.627550843114938
"Income.code",0.258564360211078,0.121117084150091,0.123341593302863,0.0731407857450631,0.998766098712079,0.69202728268681,0.810468004718795,0.481740729845118,0.538711077677963,0.408092246634075,0.793505238295121,0.301568001310255,0.802303600241412,0.541114166525462,0.584976306540978,0.475118166288513,0.787828763913085,0.258564360211078,0.906904954966198
"OLDERSIBLINGS",0.337876418547138,0.862015050748627,0.982943984685033,0.916952210351384,0.7937135856513,0.593087647149818,0.255258188048513,0.953154098762522,0.922199472097829,0.711063955646112,0.592275577758664,0.319439864637139,0.296659725752503,0.928722671870311,0.899918788813436,0.761535149658741,0.624221729670009,0.283495426954277,0.291580919364998
"SEX",0.72845400452761,0.465543590401066,0.668099793739123,0.615418555979637,0.793713585651299,0.698139021745029,1,0.474392415870107,0.57261364823008,0.690458817041745,0.689821558043133,0.761452027526116,0.472233471257898,0.463769241402156,0.55936501117145,0.686958006189426,0.721617986130105,0.932254202819946,0.52846738565562
"GESTAGEBIRTH",0.0225155419798469,0.513309866442461,0.834743560905018,0.489381759908881,0.316210102761887,0.370654102075069,0.540615790757225,0.211888844779472,0.258411780636545,0.135050719080397,0.163903251532293,0.0474463476484881,0.61747086964113,0.215953680591317,0.261293804629341,0.150178979617048,0.166901747763637,0.0312749608726142,0.701908074173787
"BW",0.132289276868931,0.574218313036596,0.827435996723972,0.754009658699464,0.315988934709061,0.486810993369732,0.707081088959842,0.708913756951717,0.423689836522204,0.389318630450236,0.220869914481984,0.181478297245222,0.953365890735231,0.674652044026533,0.402737457738247,0.380571061893081,0.206663115012222,0.12532543797277,0.918886797452757
"MaternalInfection",0.975444698819014,0.918869901471404,0.801908224915805,0.951264370454393,0.520846372061919,0.389672000502813,0.584052236216277,0.94534199676922,0.990485008187748,0.933825184714757,0.856613525249758,0.563358001004025,0.983931808041874,0.961417046245415,0.976666257771846,0.903791556430411,0.87544625221992,0.492805437279399,0.899191751845928
"MPSYCH",0.21642731243166,0.984816177710942,0.962641968488197,0.519837302700884,0.977171236512445,0.391301608316336,1,0.951535618906879,0.732673772865286,0.667623686042779,0.644811116568275,0.407082681952469,0.500937698490154,0.896959021283528,0.688372000833076,0.61960145151636,0.596605259838169,0.375763763855528,0.66923518315781
"VITAMINDNEO",0.800826017752955,0.536964267796829,0.668099793739123,0.184308492315084,0.070181207879906,0.698139021745028,0.57515114861273,0.229853151479582,0.423036506255905,0.328878916305948,0.161955478180927,0.707451121855201,0.747391229820715,0.226949361707152,0.414212468418753,0.315011317810279,0.159103062088643,0.811722320696073,0.672697536868189
"PrePregBMI",0.851866029346683,0.746577472358643,0.663420431289062,0.421955401102273,0.363577896277961,0.417940154266799,0.403883227979369,0.665663213316038,0.49007240121161,0.725101176071195,0.572645830068086,0.656094951547825,0.198319361376063,0.650868976212075,0.48706375363615,0.712766809654833,0.596427089014072,0.721263294962841,0.228045592726887
