"","MaskMaxIntensity_StartleResponse","MaskMaxIntensity_EscapeBehavior","MaskAverageScore_Latency","MaskAverageScore_FacialFear","MaskAverageScore_VocalDistress","MaskAverageScore_BodilyFear"
"chao1",0.00198038370062801,-0.00218474109881497,-0.00123200677238024,0.000383578572147844,0.0013417819246081,0.00296198023400933
"observed_otus",0.00325438753442198,-0.00287033865472883,0.00206890331898029,-0.000434615315519412,0.000958575335689658,0.00428779906152962
"PD_whole_tree",0.0505595376603277,-0.0700693835555828,0.120124712565556,-0.0431383292643448,0.00691850139539075,0.123983155259957
"shannon",0.244476156585779,-0.0975252903505727,-0.666263979043713,0.16406434244605,0.239925340962722,0.402878979313753
