"","MasksPresented","MaskMaxIntensity_Latency","MaskMaxIntensity_FacialFear","MaskMaxIntensity_VocalDistress","MaskMaxIntensity_BodilyFear","MaskMaxIntensity_StartleResponse","MaskMaxIntensity_EscapeBehavior","MaskAverageScore_Latency","MaskAverageScore_FacialFear","MaskAverageScore_VocalDistress","MaskAverageScore_BodilyFear","MaskAverageScore_StartleResponse","MaskAverageScore_EscapeBehavior","MaskSummedScore_Latency","MaskSummedScore_FacialFear","MaskSummedScore_VocalDistress","MaskSummedScore_BodilyFear","MaskSummedScore_StartleResponse","MaskSummedScore_EscapeBehavior"
"AGEVISITNEO",0.0280536457007045,-0.135302605890841,0.0407435701553349,0.0142178083354554,-0.00263135557253204,0.00258891435362023,0.0427383074441898,-0.0469612087259145,0.0246795687972159,0.00137226607957728,-0.00795772854596385,-0.0128915202444614,0.0159968027600798,-0.222137339784398,0.107291401409048,0.0154910449028095,-0.0232577879636703,-0.0472795178677532,0.0754180460062813
"MAGE",-0.0287980686325228,0.220469046387308,-0.062338334195551,-0.0725125021555441,-0.00241420934643912,-0.0121572684945681,-0.0475081910674255,0.0974305914812902,-0.0265563028108295,-0.016087543830833,0.0110363855837212,0.00610018968787718,-0.0180347186282118,0.397999655112952,-0.108294533540266,-0.067856526987412,0.0420762200379372,0.0266425245732021,-0.0770822555613038
"PAGE",-0.0266393442622951,0.0275447960350743,-0.0135341212352269,-0.0070053373999238,0.0284979031643156,0.00219214639725503,-0.0181090354555852,-0.0991231414410981,0.0248641822340831,0.0293398144604937,0.0355508959207015,0.011115611894777,0.00853428008773349,-0.375714830346931,0.0942622950819671,0.110846359130766,0.137009149828441,0.0432234083110941,0.0263057567670605
"MEDUY",-0.0342465753424654,0.779576587795766,-0.216064757160648,-0.275840597758406,-0.12266500622665,-0.0603985056039852,-0.189290161892902,0.43617683686177,-0.110056039850561,-0.0909090909097139,-0.0481008717310091,-0.0133872976338731,-0.0912204234115817,1.75965130759652,-0.443960149439602,-0.367995018679952,-0.196139476961396,-0.0554171855541725,-0.36986301369863
"PEDUY",0.0355308219178084,0.371147260273973,-0.0847602739726026,-0.0821917808219178,-0.00642123287671239,-0.0355308219178083,-0.0732020547945204,0.0816566780821926,-0.0197988013698631,-0.0371004566211474,-0.00492294520547962,-0.0220462328767124,-0.0249714611870719,0.330051369863016,-0.080051369863014,-0.149400684931508,-0.02054794520548,-0.0886130136986305,-0.101027397260274
"Income.code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OLDERSIBLINGS",-0.357142857142857,0.357142857142858,-0.0119047619047623,-0.0595238095238098,0.119047619047619,0.130952380952381,-0.452380952380952,0.107142857142858,-0.0476190476190481,0.172619047571428,0.223214285714285,0.163690476190476,-0.247023809476191,0.66666666666667,-0.250000000000002,0.583333333333332,0.833333333333332,0.738095238095238,-1.14285714285714
"SEX",0.130952380952381,-1.48809523809524,0.238095238095238,0.285714285714285,-0.119047619047619,0.0952380952380951,7.62878929033304e-17,-1.29464285714286,0.273809523809524,0.185515872988095,-0.166666666666667,-0.0505952380952382,0.171626984154762,-5.41666666666666,1.1547619047619,0.773809523809522,-0.607142857142858,-0.0595238095238101,0.69047619047619
"GESTAGEBIRTH",-0.0512104283054002,-0.0856610800744876,0.00744878957169447,0.0251396648044691,0.0288640595903164,0.0139664804469273,-0.0158286778398511,-0.142690875232774,0.0346834264432028,0.0432960893826813,0.0363128491620109,0.0200186219739291,0.00768156424860327,-0.578212290502791,0.140595903165735,0.172253258845437,0.147113594040967,0.0903165735567966,0.0270018621973926
"BW",-0.000789574890049725,-0.00165109008099707,0.00017423847544134,0.000256592804191666,0.000646480252620736,0.000244041935718234,-0.000218399848269579,-0.00097594669039493,0.00055497066707301,0.000570962176398821,0.000719642482493994,0.00031181908161341,2.02119742942247e-05,-0.00448215828958827,0.00236447555029418,0.00239630710712699,0.00302316281197811,0.00148827265025268,0.000161171817852561
"MaternalInfection",-0.011363636363636,-0.204545454545455,0.136363636363636,0.034090909090909,-0.28409090909091,-0.204545454545455,0.215909090909091,0.122159090909091,0.00568181818181765,0.0378787879204541,-0.0738636363636367,-0.0937500000000002,0.00473484844318163,0.352272727272729,0.0568181818181795,0.227272727272726,-0.261363636363638,-0.465909090909092,0.136363636363636
"MPSYCH",0.5,0.0428571428571434,-0.0285714285714284,0.4,0.0142857142857144,-0.228571428571428,9.80295234496083e-17,0.121428571428572,-0.182142857142857,-0.219047619071429,-0.210714285714286,-0.15,0.176190476214286,1.05714285714286,-0.871428571428571,-1.04285714285714,-0.985714285714285,-0.671428571428571,0.514285714285714
"VITAMINDNEO",-0.0952380952380951,-1.26190476190476,0.238095238095238,0.738095238095238,0.785714285714286,0.0952380952380952,0.226190476190476,-2.14285714285714,0.386904761904762,0.449404761952381,0.568452380952381,0.0624999999999999,0.0773809523333334,-8.80952380952381,1.60714285714286,1.9047619047619,2.33333333333333,0.166666666666667,0.464285714285715
"PrePregBMI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
